food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium
Mixed,18.78,74.26,10.78,11.91,94.49,Biogas,7.1,2.79,-1.13,-10.88,1.13,0.56,0.61
Mixed,9.26,57.36,1.62,16.77,94.23,Compost,3.49,1.06,-15.15,-31.6,1.55,0.55,0.88
Vegetables,3.49,80.44,85.67,3.65,96.44,Donation,1.35,0.56,82.03,95.51,1.56,0.52,1.34
Vegetables,48.54,92.19,73.57,7.15,92.35,Animal Feed,17.93,8.95,66.42,73.98,1.2,0.63,1.43
Vegetables,15.2,89.52,50.61,7.61,94.9,Animal Feed,5.77,2.72,43.0,45.51,1.48,0.56,1.07
Vegetables,48.63,82.1,7.19,8.37,97.2,Animal Feed,18.91,7.99,-1.18,-8.11,1.04,0.46,1.29
Grains,16.51,25.67,28.94,10.33,95.57,Compost,6.31,0.85,18.6,14.06,1.04,0.32,0.46
Vegetables,13.38,87.93,75.65,8.93,93.76,Animal Feed,5.02,2.35,66.72,72.92,1.53,0.7,1.2
Grains,10.75,12.71,46.01,2.44,96.8,Animal Feed,4.16,0.27,43.57,50.34,0.88,0.37,0.37
Grains,23.99,16.63,31.04,15.25,99.01,Compost,9.5,0.8,15.78,6.73,0.95,0.2,0.41
Meat,25.31,51.78,47.8,19.34,90.3,Compost,9.14,2.62,28.46,18.68,2.63,1.0,0.49
Grains,8.45,28.64,56.38,9.64,98.25,Animal Feed,3.32,0.48,46.74,48.38,1.08,0.4,0.37
Fruits,5.79,81.13,71.5,13.16,95.13,Biogas,2.2,0.94,58.33,59.47,0.99,0.31,0.98
Grains,16.32,26.72,28.5,15.45,95.2,Compost,6.21,0.87,13.05,3.3,1.09,0.33,0.34
Vegetables,1.24,71.02,12.55,27.8,97.68,Biogas,0.48,0.18,-15.24,-40.53,1.61,0.66,1.13
Vegetables,3.06,71.36,77.41,27.25,91.03,Biogas,1.12,0.44,50.16,38.39,1.8,0.49,1.4
Vegetables,7.64,73.05,25.7,18.66,93.59,Biogas,2.86,1.12,7.05,-6.47,1.33,0.19,1.03
Vegetables,18.94,72.64,23.57,7.07,95.92,Animal Feed,7.27,2.75,16.5,14.15,1.74,0.57,1.24
Mixed,39.72,75.2,14.29,10.5,92.95,Biogas,14.77,5.97,3.79,-3.85,1.29,0.47,0.71
Vegetables,28.45,81.59,79.06,14.37,94.6,Biogas,10.76,4.64,64.69,66.14,1.07,0.64,1.36
Grains,27.23,11.18,54.22,26.95,97.12,Compost,10.58,0.61,27.27,11.16,0.88,0.25,0.4
Vegetables,49.14,93.98,36.62,2.91,97.85,Animal Feed,19.23,9.24,33.71,38.13,1.43,0.63,1.31
Vegetables,35.81,79.57,56.76,4.62,91.99,Animal Feed,13.18,5.7,52.15,58.88,1.48,0.5,1.47
Vegetables,7.17,82.86,0.91,2.81,97.76,Animal Feed,2.8,1.19,-1.9,-4.53,1.32,0.59,1.36
Grains,9.94,10.56,81.88,18.43,97.33,Compost,3.87,0.21,63.45,61.39,0.9,0.35,0.37
Vegetables,23.62,87.56,9.63,23.31,90.69,Biogas,8.57,4.14,-13.68,-35.06,1.7,0.45,1.54
Vegetables,43.21,72.67,84.66,0.31,98.91,Donation,17.1,6.28,84.35,100.97,1.24,0.63,0.91
Vegetables,45.51,79.7,32.38,13.98,97.06,Biogas,17.67,7.25,18.41,10.91,1.58,0.42,1.24
Vegetables,31.76,78.44,85.2,22.18,93.83,Biogas,11.92,4.98,63.02,57.88,1.43,0.39,1.3
Grains,7.29,23.74,65.67,24.64,95.09,Compost,2.77,0.35,41.03,29.52,0.94,0.35,0.42
Vegetables,20.69,85.61,30.28,9.62,93.98,Animal Feed,7.78,3.54,20.66,17.1,1.37,0.4,1.58
Meat,36.73,70.47,9.86,29.46,92.62,Biogas,13.61,5.18,-19.6,-47.09,2.6,1.17,0.52
Fruits,27.14,55.85,7.37,24.15,89.48,Compost,9.71,3.03,-16.78,-39.45,1.09,0.49,0.96
Grains,2.99,16.26,20.58,22.23,97.55,Compost,1.17,0.1,-1.65,-19.77,0.96,0.28,0.39
Meat,40.5,65.42,11.52,20.54,90.92,Biogas,14.73,5.3,-9.01,-27.25,2.74,1.35,0.38
Vegetables,43.23,82.64,28.83,3.84,95.3,Animal Feed,16.48,7.14,24.99,26.92,1.78,0.54,0.67
Vegetables,1.03,91.74,77.6,12.09,97.65,Biogas,0.4,0.19,65.51,68.95,1.34,0.24,1.15
Fruits,5.7,56.46,93.71,25.47,96.81,Compost,2.21,0.64,68.24,61.51,1.27,0.23,0.93
Vegetables,49.51,88.38,72.86,3.67,93.56,Animal Feed,18.53,8.75,69.18,80.08,1.42,0.53,1.07
Grains,49.37,16.52,70.54,14.63,96.51,Compost,19.06,1.63,55.91,55.39,0.93,0.29,0.4
Meat,33.86,64.32,24.22,21.41,94.67,Biogas,12.82,4.36,2.81,-13.76,2.92,1.08,0.52
Grains,46.29,20.21,89.26,5.76,96.4,Animal Feed,17.85,1.87,83.5,95.6,0.87,0.27,0.39
Vegetables,42.8,78.48,9.56,29.77,99.62,Biogas,17.05,6.72,-20.2,-48.06,1.2,0.46,0.87
Fruits,41.06,47.08,86.78,14.29,97.45,Compost,16.01,3.87,72.48,75.54,1.17,0.47,0.61
Mixed,27.99,41.33,64.31,28.72,88.85,Compost,9.95,2.31,35.59,19.73,1.13,0.29,0.74
Grains,35.05,17.93,97.98,24.85,97.82,Compost,13.71,1.26,73.13,67.88,1.16,0.31,0.42
Vegetables,25.87,92.58,41.05,3.71,99.44,Animal Feed,10.29,4.79,37.34,41.85,1.68,0.64,1.05
Fruits,46.67,62.71,29.94,3.83,80.33,Animal Feed,14.99,5.85,26.11,28.27,1.17,0.53,0.89
Mixed,47.87,46.24,15.86,10.1,84.14,Compost,16.11,4.43,5.76,-1.16,0.94,0.29,0.86
Mixed,48.16,77.88,73.13,2.91,92.52,Animal Feed,17.82,7.5,70.22,81.94,1.13,0.58,1.24
Vegetables,48.18,78.38,9.12,6.24,92.68,Animal Feed,17.86,7.55,2.88,-1.54,1.6,0.33,1.07
Grains,11.94,22.95,81.29,17.53,95.5,Compost,4.56,0.55,63.76,62.49,1.07,0.36,0.38
Meat,32.58,60.42,4.47,11.4,87.92,Biogas,11.46,3.94,-6.92,-17.43,3.16,1.21,0.56
Vegetables,28.41,72.85,13.23,25.84,99.33,Biogas,11.29,4.14,-12.6,-35.79,1.66,0.51,1.1
Grains,1.97,28.68,82.29,3.31,97.37,Donation,0.77,0.11,78.98,92.13,1.05,0.31,0.3
Vegetables,16.62,90.99,99.12,16.07,97.78,Biogas,6.5,3.03,83.05,86.81,1.83,0.4,1.46
Mixed,37.61,45.43,61.32,26.77,94.33,Compost,14.19,3.42,34.56,20.06,0.62,0.41,0.55
Vegetables,43.92,93.36,55.29,6.4,90.89,Animal Feed,15.97,8.2,48.89,53.55,1.43,0.55,1.52
Grains,3.26,14.06,16.91,12.65,99.72,Compost,1.3,0.09,4.26,-5.01,0.86,0.3,0.43
Fruits,4.44,45.75,89.41,25.36,96.12,Compost,1.71,0.41,64.05,56.57,0.96,0.38,0.55
Vegetables,29.47,76.11,60.19,16.17,95.33,Biogas,11.24,4.49,44.02,39.89,1.49,0.4,0.97
Vegetables,6.27,94.24,22.95,19.41,91.75,Biogas,2.3,1.18,3.54,-11.28,1.36,0.52,1.08
Vegetables,27.11,73.11,2.02,2.86,92.02,Animal Feed,9.98,3.96,-0.84,-3.3,1.56,0.48,1.14
Vegetables,5.55,91.65,67.04,18.62,90.66,Biogas,2.01,1.02,48.42,43.2,1.55,0.53,1.22
Grains,9.56,26.82,26.3,26.83,96.64,Compost,3.7,0.51,-0.53,-22.09,0.94,0.3,0.4
Grains,36.37,18.17,95.46,18.67,99.43,Compost,14.47,1.32,76.79,77.2,0.99,0.34,0.44
Mixed,17.85,81.18,65.31,8.82,82.03,Animal Feed,5.86,2.9,56.49,60.72,0.83,0.39,0.35
Mixed,45.27,75.97,64.14,15.84,82.06,Compost,14.86,6.88,48.31,45.3,1.2,0.32,0.71
Meat,22.33,67.33,32.94,29.57,86.6,Biogas,7.74,3.01,3.37,-19.61,3.16,1.04,0.49
Vegetables,25.3,78.12,86.47,1.9,99.96,Donation,10.12,3.95,84.57,99.97,1.68,0.42,1.26
Grains,35.31,13.81,49.96,4.75,98.89,Animal Feed,13.97,0.97,45.21,50.45,1.08,0.26,0.34
Mixed,8.92,74.26,67.72,23.33,86.15,Biogas,3.07,1.32,44.39,34.61,1.03,0.41,0.75
Vegetables,8.47,88.24,8.8,4.51,98.13,Animal Feed,3.33,1.5,4.29,1.55,1.22,0.42,1.05
Vegetables,29.9,92.6,81.13,10.53,91.5,Biogas,10.94,5.54,70.61,76.31,1.59,0.65,1.28
Vegetables,45.71,88.36,29.83,18.7,90.91,Biogas,16.62,8.08,11.13,-1.61,1.7,0.46,1.38
Grains,27.37,15.1,70.34,14.99,99.8,Compost,10.93,0.83,55.35,54.43,0.96,0.29,0.46
Vegetables,14.05,76.49,1.04,18.4,95.62,Biogas,5.37,2.15,-17.36,-35.55,1.51,0.46,1.12
Mixed,44.57,71.76,63.38,5.25,94.14,Animal Feed,16.78,6.4,58.13,65.56,0.7,0.33,0.66
Meat,10.31,55.7,6.27,2.71,94.57,Compost,3.9,1.15,3.56,2.1,2.89,1.0,0.4
Grains,31.91,13.86,73.36,4.46,99.36,Animal Feed,12.68,0.88,68.9,79.1,0.89,0.35,0.44
Vegetables,11.62,77.35,0.05,1.74,92.88,Animal Feed,4.32,1.8,-1.69,-3.43,1.34,0.43,1.38
Grains,14.99,13.86,75.58,8.68,95.25,Animal Feed,5.71,0.42,66.9,73.33,1.03,0.35,0.41
Vegetables,40.89,78.24,17.96,20.16,98.47,Biogas,16.1,6.4,-2.2,-18.77,1.42,0.5,1.08
Mixed,21.21,44.51,57.23,13.54,85.72,Compost,7.27,1.89,43.69,41.6,1.28,0.44,0.58
Fruits,17.86,79.37,97.03,16.46,94.62,Biogas,6.76,2.84,80.57,83.52,1.32,0.28,0.97
Mixed,11.57,84.25,95.16,20.02,94.69,Biogas,4.38,1.95,75.15,74.16,0.93,0.38,0.72
Vegetables,47.77,88.49,24.31,29.9,99.07,Biogas,18.93,8.46,-5.58,-30.62,1.36,0.51,1.23
Vegetables,33.91,91.12,62.11,24.86,91.75,Biogas,12.45,6.18,37.25,24.81,1.18,0.64,1.25
Grains,18.51,12.78,60.01,13.18,97.85,Compost,7.24,0.47,46.82,45.64,1.1,0.21,0.42
Fruits,28.41,82.02,40.02,27.99,89.32,Biogas,10.15,4.66,12.02,-7.97,1.22,0.5,0.39
Vegetables,6.95,90.76,52.49,17.76,95.77,Biogas,2.66,1.26,34.73,27.46,1.68,0.45,0.86
Fruits,20.32,70.44,88.58,23.71,95.03,Biogas,7.72,2.86,64.86,58.87,1.06,0.47,1.02
Grains,49.2,18.78,19.56,13.83,99.21,Compost,19.53,1.85,5.74,-4.18,0.83,0.3,0.42
Fruits,41.97,55.12,10.15,25.82,80.85,Compost,13.57,4.63,-15.67,-39.46,0.25,0.52,0.98
Meat,20.03,65.74,1.77,17.56,86.87,Biogas,6.96,2.63,-15.79,-32.99,2.33,0.9,0.54
Vegetables,39.24,80.4,72.13,28.68,93.39,Biogas,14.66,6.31,43.46,29.21,1.29,0.34,1.27
Fruits,37.97,71.36,64.81,15.45,95.59,Biogas,14.52,5.42,49.36,46.88,1.15,0.3,0.92
Mixed,25.99,41.73,99.97,26.08,84.76,Compost,8.81,2.17,73.89,67.8,1.17,0.4,0.8
Mixed,31.55,78.66,65.9,4.74,85.75,Animal Feed,10.82,4.96,61.15,69.59,1.07,0.47,0.62
Vegetables,17.12,88.92,64.91,29.09,90.39,Biogas,6.19,3.05,35.82,19.72,1.84,0.4,0.9
Vegetables,45.22,80.83,9.73,4.22,96.64,Animal Feed,17.48,7.31,5.51,3.24,1.34,0.52,1.43
Meat,12.23,64.23,37.27,6.79,89.28,Biogas,4.37,1.57,30.47,31.13,3.5,0.86,0.58
Grains,41.04,21.51,33.5,15.25,99.85,Compost,16.39,1.77,18.24,9.69,1.13,0.34,0.43
Meat,38.27,58.35,89.47,20.49,88.24,Compost,13.51,4.47,68.98,66.38,3.26,1.04,0.3
Vegetables,3.81,88.04,32.3,10.15,93.53,Biogas,1.42,0.67,22.15,18.45,1.34,0.52,1.07
Grains,36.16,15.53,65.88,8.26,95.4,Animal Feed,13.8,1.12,57.61,62.53,0.94,0.29,0.4
Vegetables,12.41,75.54,6.19,24.12,93.14,Biogas,4.62,1.87,-17.93,-40.81,1.5,0.53,1.38
Vegetables,6.21,78.13,48.7,1.1,94.31,Animal Feed,2.34,0.97,47.59,56.23,1.29,0.46,0.95
Grains,13.18,21.96,46.35,28.86,98.07,Compost,5.17,0.58,17.49,-2.1,0.94,0.27,0.43
Meat,48.79,73.18,69.78,18.41,91.11,Biogas,17.78,7.14,51.38,46.92,3.44,0.84,0.57
Grains,21.38,10.89,26.79,0.84,99.33,Animal Feed,8.5,0.47,25.94,30.46,1.17,0.31,0.45
Vegetables,4.57,79.0,93.17,10.57,91.88,Biogas,1.68,0.72,82.6,90.66,1.68,0.39,1.25
Vegetables,12.87,73.89,23.69,22.09,94.6,Biogas,4.87,1.9,1.6,-15.76,1.5,0.62,1.04
Vegetables,30.04,85.96,7.57,15.55,96.72,Biogas,11.62,5.17,-7.97,-22.01,1.39,0.42,1.29
Vegetables,17.52,87.17,74.03,7.64,94.13,Animal Feed,6.59,3.05,66.39,73.56,1.19,0.58,0.9
Vegetables,32.37,94.13,66.69,0.94,92.14,Animal Feed,11.93,6.09,65.74,78.14,1.64,0.53,0.81
Vegetables,13.64,75.62,71.89,16.15,91.8,Biogas,5.01,2.06,55.75,53.98,1.42,0.45,1.17
Meat,32.75,72.64,90.7,26.16,86.4,Biogas,11.32,4.76,64.54,56.52,2.76,0.8,0.58
Vegetables,36.75,79.59,84.24,21.51,99.31,Biogas,14.6,5.85,62.73,58.07,1.5,0.45,1.13
Fruits,8.74,79.82,13.28,16.18,92.2,Biogas,3.22,1.4,-2.9,-16.42,1.5,0.58,0.71
Meat,8.53,55.6,88.94,4.83,91.97,Donation,3.14,0.95,84.11,97.07,3.73,0.85,0.45
Vegetables,21.99,81.9,50.3,1.01,93.61,Animal Feed,8.24,3.6,49.29,58.33,1.55,0.57,0.93
Mixed,11.94,71.39,53.67,2.51,94.0,Animal Feed,4.49,1.71,51.16,59.38,0.8,0.36,0.87
Fruits,24.84,47.13,95.02,10.84,92.94,Compost,9.23,2.34,84.18,92.34,0.97,0.37,0.49
Grains,47.47,17.87,33.27,27.45,96.79,Compost,18.38,1.7,5.82,-14.97,0.98,0.27,0.43
Grains,28.26,22.96,19.44,1.47,98.81,Animal Feed,11.17,1.3,17.97,20.39,1.05,0.32,0.31
Meat,4.61,73.62,3.0,19.67,87.97,Biogas,1.62,0.68,-16.67,-35.75,2.47,0.58,0.55
Mixed,1.53,52.17,47.99,4.27,92.66,Animal Feed,0.57,0.16,43.72,49.05,1.13,0.43,0.63
Grains,1.44,14.79,20.12,22.65,96.85,Compost,0.56,0.04,-2.53,-21.15,0.8,0.31,0.39
Grains,24.51,22.9,67.69,0.02,95.22,Animal Feed,9.33,1.12,67.67,81.18,0.98,0.27,0.32
Mixed,9.55,51.19,51.85,3.14,96.3,Animal Feed,3.68,0.98,48.7,55.93,0.63,0.36,0.49
Vegetables,2.56,76.42,89.85,16.39,99.22,Biogas,1.02,0.39,73.46,75.04,1.78,0.44,1.46
Vegetables,6.37,86.7,85.89,17.0,92.8,Biogas,2.36,1.1,68.89,69.07,1.54,0.53,1.42
Meat,15.42,62.58,62.76,1.7,85.19,Biogas,5.26,1.93,61.06,71.91,3.36,1.47,0.58
Mixed,1.88,76.15,64.69,10.9,88.63,Biogas,0.67,0.29,53.8,55.84,1.47,0.39,1.07
Meat,13.45,67.98,81.37,20.74,86.93,Biogas,4.68,1.83,60.63,56.16,2.52,1.21,0.58
Mixed,8.65,52.12,69.7,8.12,85.29,Animal Feed,2.95,0.9,61.58,67.4,1.02,0.29,0.56
Vegetables,28.95,74.83,19.34,20.85,93.65,Biogas,10.84,4.33,-1.51,-18.49,1.67,0.46,0.89
Mixed,9.97,45.19,46.89,1.87,86.97,Animal Feed,3.47,0.9,45.02,52.52,1.25,0.52,0.71
Mixed,19.29,70.08,0.06,12.87,92.01,Biogas,7.1,2.7,-12.82,-25.68,1.09,0.43,1.1
Meat,10.15,71.27,78.74,8.44,91.6,Biogas,3.72,1.45,70.31,77.62,3.76,1.25,0.4
Vegetables,25.97,84.57,32.9,5.64,92.92,Animal Feed,9.65,4.39,27.26,28.2,1.67,0.37,1.42
Vegetables,49.23,78.98,23.29,18.49,92.21,Biogas,18.16,7.78,4.8,-9.04,1.46,0.31,1.19
Vegetables,25.94,79.69,23.75,13.14,95.33,Biogas,9.89,4.13,10.61,2.21,1.64,0.32,1.16
Vegetables,31.93,85.72,96.65,5.56,94.13,Animal Feed,12.02,5.47,91.09,104.86,1.36,0.53,0.95
Vegetables,13.96,80.32,75.17,9.38,93.06,Animal Feed,5.2,2.24,65.78,71.43,1.49,0.63,1.16
Meat,38.37,55.94,2.56,9.5,90.18,Compost,13.84,4.29,-6.94,-15.93,2.94,1.22,0.51
Fruits,12.6,46.16,51.59,8.35,90.37,Animal Feed,4.56,1.16,43.24,45.22,1.1,0.21,0.82
Meat,37.25,55.85,40.36,10.93,88.2,Compost,13.14,4.16,29.42,26.56,3.67,0.88,0.62
Vegetables,17.7,90.07,40.92,8.26,94.91,Animal Feed,6.72,3.19,32.66,32.59,1.26,0.49,1.2
Mixed,20.5,75.5,0.4,0.52,83.79,Animal Feed,6.87,3.1,-0.12,-0.56,1.1,0.44,0.49
Vegetables,11.93,83.2,67.83,27.94,96.86,Biogas,4.62,1.99,39.89,25.52,1.28,0.42,1.12
Vegetables,5.26,94.49,23.11,29.79,92.71,Biogas,1.95,0.99,-6.68,-31.85,1.57,0.49,0.84
Vegetables,23.12,83.71,55.15,0.01,94.67,Animal Feed,8.76,3.87,55.14,66.16,1.56,0.5,1.13
Grains,9.03,24.23,92.58,13.36,96.11,Compost,3.47,0.44,79.22,84.37,1.07,0.26,0.46
Fruits,31.78,83.98,1.93,21.32,93.37,Biogas,11.87,5.34,-19.39,-40.32,0.92,0.49,0.43
Vegetables,20.47,77.12,8.17,16.21,92.0,Biogas,7.53,3.16,-8.04,-22.61,1.51,0.48,1.1
Vegetables,47.06,94.16,61.01,26.88,93.05,Biogas,17.52,8.86,34.14,19.46,1.4,0.47,1.24
Mixed,41.59,74.8,97.34,21.27,95.79,Biogas,15.94,6.22,76.07,74.26,1.45,0.37,0.98
Vegetables,22.66,87.18,15.27,25.74,93.61,Biogas,8.49,3.95,-10.47,-33.16,1.44,0.53,1.15
Vegetables,42.33,77.41,7.34,9.89,99.34,Animal Feed,16.82,6.55,-2.55,-10.98,1.61,0.49,1.04
Vegetables,30.38,94.4,40.37,28.49,91.7,Biogas,11.14,5.74,11.88,-8.54,1.68,0.33,1.31
Grains,18.79,24.39,41.7,13.57,99.19,Compost,7.46,0.92,28.13,22.91,0.92,0.27,0.44
Vegetables,16.23,88.82,76.22,29.08,90.12,Biogas,5.85,2.88,47.13,33.29,1.35,0.46,1.12
Grains,17.61,26.58,44.84,23.94,95.34,Compost,6.72,0.94,20.91,5.94,0.94,0.29,0.37
Mixed,27.03,62.3,33.73,15.44,83.83,Compost,9.07,3.37,18.29,9.6,1.44,0.39,0.54
Grains,22.19,25.17,86.57,6.11,97.92,Animal Feed,8.69,1.12,80.46,91.67,0.95,0.34,0.42
Grains,36.12,12.92,14.81,11.36,99.21,Compost,14.33,0.93,3.45,-4.95,1.05,0.27,0.42
Vegetables,14.27,94.61,9.46,3.27,91.08,Animal Feed,5.2,2.7,6.19,4.81,1.36,0.67,1.02
Vegetables,32.6,92.73,4.74,24.89,98.26,Biogas,12.81,6.05,-20.16,-44.1,1.51,0.53,0.83
Vegetables,36.76,80.18,96.47,19.83,90.06,Biogas,13.24,5.9,76.64,76.1,1.22,0.4,0.94
Grains,7.23,17.82,36.65,18.98,95.18,Compost,2.75,0.26,17.67,6.03,0.94,0.32,0.48
Meat,10.02,65.02,28.61,27.99,92.34,Biogas,3.7,1.3,0.62,-21.65,3.39,0.79,0.46
Vegetables,6.28,72.07,88.11,14.2,91.8,Biogas,2.31,0.9,73.91,77.33,1.5,0.39,1.4
Fruits,23.07,68.89,17.35,3.92,82.93,Animal Feed,7.65,3.18,13.43,12.98,1.07,0.48,0.63
Mixed,34.75,61.3,5.07,24.54,81.71,Compost,11.36,4.26,-19.47,-43.0,1.68,0.51,0.96
Grains,30.95,29.74,80.93,22.83,97.91,Compost,12.12,1.84,58.1,51.45,0.98,0.28,0.42
Mixed,46.85,49.63,35.18,19.96,88.37,Compost,16.56,4.65,15.22,2.3,1.27,0.47,0.6
Meat,22.91,51.4,92.84,10.62,91.33,Compost,8.37,2.36,82.22,90.16,2.95,1.0,0.58
Fruits,39.53,83.28,4.6,10.98,94.24,Biogas,14.9,6.58,-6.38,-16.43,1.4,0.37,0.61
Meat,31.29,63.18,45.46,29.75,85.04,Biogas,10.64,3.95,15.7,-4.96,3.24,0.76,0.48
Fruits,16.22,66.71,22.22,5.78,89.04,Animal Feed,5.78,2.16,16.45,15.11,1.26,0.13,0.58
Vegetables,10.78,93.16,61.53,5.59,97.14,Animal Feed,4.19,2.01,55.94,62.66,1.61,0.4,1.36
Vegetables,32.0,85.62,47.63,2.87,91.57,Animal Feed,11.72,5.48,44.77,51.43,1.39,0.48,1.34
Meat,13.57,59.71,96.16,15.6,92.03,Compost,5.0,1.62,80.56,84.2,3.24,0.99,0.59
Vegetables,26.4,91.52,20.13,8.37,95.38,Animal Feed,10.07,4.83,11.76,7.42,1.56,0.66,0.85
Grains,40.67,26.58,57.09,19.43,95.82,Compost,15.59,2.16,37.66,29.65,1.04,0.19,0.47
Vegetables,46.04,93.39,87.09,0.62,91.05,Donation,16.77,8.6,86.47,103.28,1.28,0.62,1.38
Fruits,42.81,66.8,49.05,25.95,88.64,Biogas,15.18,5.72,23.1,6.95,1.34,0.37,0.71
Fruits,25.3,75.35,0.72,2.42,93.78,Animal Feed,9.49,3.81,-1.7,-3.97,0.77,0.44,0.6
Meat,2.64,60.0,27.47,19.25,94.86,Compost,1.0,0.32,8.22,-5.54,2.77,1.13,0.58
Grains,31.57,18.72,80.6,12.66,97.65,Compost,12.33,1.18,67.94,71.39,0.97,0.23,0.36
Grains,33.28,25.46,16.83,26.43,99.93,Compost,13.3,1.7,-9.6,-32.66,1.01,0.28,0.35
Grains,42.77,29.7,10.61,0.23,97.75,Animal Feed,16.72,2.54,10.39,12.28,0.97,0.26,0.4
Vegetables,28.04,71.88,79.34,10.91,96.15,Biogas,10.78,4.03,68.43,73.39,1.45,0.52,1.38
Grains,20.76,16.74,17.04,11.44,98.64,Compost,8.19,0.7,5.6,-2.44,0.91,0.23,0.45
Fruits,1.75,82.65,99.11,16.65,96.18,Biogas,0.67,0.29,82.46,85.63,1.1,0.58,0.61
Vegetables,42.83,73.35,75.97,6.97,92.57,Animal Feed,15.86,6.28,69.0,77.23,1.43,0.56,1.13
Grains,16.59,14.98,53.32,13.86,96.57,Compost,6.41,0.5,39.46,36.26,1.16,0.31,0.39
Grains,49.81,23.07,34.45,22.45,98.52,Compost,19.63,2.3,12.0,-3.56,0.97,0.2,0.43
Vegetables,20.77,81.78,54.49,19.58,91.67,Biogas,7.62,3.4,34.91,26.23,1.31,0.48,1.1
Grains,25.51,20.86,75.81,17.38,97.56,Compost,9.96,1.06,58.42,56.2,0.98,0.26,0.41
Vegetables,11.18,70.92,76.43,11.59,94.26,Biogas,4.22,1.59,64.83,68.52,1.21,0.35,1.12
Grains,32.36,22.09,27.94,10.21,99.54,Compost,12.89,1.43,17.73,13.1,0.91,0.37,0.42
Mixed,2.29,63.91,13.49,1.03,86.03,Animal Feed,0.79,0.29,12.45,14.11,0.83,0.28,0.65
Mixed,33.36,74.97,38.78,11.53,81.17,Compost,10.83,5.0,27.24,23.46,1.21,0.38,0.66
Vegetables,37.94,75.38,5.16,17.75,93.24,Biogas,14.15,5.72,-12.59,-29.3,1.8,0.53,1.25
Grains,4.84,23.64,74.33,5.06,98.06,Animal Feed,1.9,0.23,69.27,79.07,1.11,0.33,0.45
Mixed,17.66,72.12,27.57,7.03,93.57,Animal Feed,6.61,2.55,20.54,19.02,0.85,0.29,0.8
Grains,13.8,20.94,12.22,19.3,96.44,Compost,5.32,0.58,-7.08,-23.94,1.14,0.33,0.4
Mixed,44.45,71.06,34.62,27.66,89.22,Biogas,15.86,6.32,6.96,-13.78,1.66,0.29,0.52
Vegetables,19.52,80.8,66.51,19.98,94.09,Biogas,7.35,3.15,46.54,39.86,1.82,0.5,0.81
Vegetables,6.08,90.08,76.64,19.6,95.3,Biogas,2.32,1.1,57.04,52.77,1.74,0.44,1.05
Mixed,23.78,42.35,82.95,17.3,92.61,Compost,8.81,2.01,65.65,64.93,0.95,0.28,0.68
Vegetables,29.74,85.84,68.61,20.61,98.85,Biogas,11.76,5.11,48.0,41.12,1.3,0.55,1.1
Mixed,20.2,40.15,63.15,5.19,91.52,Animal Feed,7.39,1.62,57.96,65.39,1.53,0.35,0.78
Grains,44.08,25.79,19.49,6.27,97.85,Animal Feed,17.25,2.27,13.23,10.86,1.01,0.28,0.42
Meat,44.66,64.07,9.02,5.04,94.58,Biogas,16.89,5.72,3.98,0.74,3.23,1.33,0.61
Vegetables,44.84,93.62,47.33,24.98,93.56,Biogas,16.78,8.4,22.34,6.83,1.57,0.51,1.36
Grains,23.27,10.32,45.77,21.29,95.06,Compost,8.85,0.48,24.48,12.34,0.93,0.31,0.44
Mixed,13.07,65.07,8.63,12.22,95.17,Biogas,4.98,1.7,-3.59,-14.09,1.62,0.67,1.02
Grains,21.73,24.01,87.04,14.43,98.86,Compost,8.59,1.04,72.61,75.58,0.76,0.24,0.42
Grains,7.31,26.72,0.1,12.01,97.11,Compost,2.84,0.39,-11.91,-23.9,1.18,0.27,0.48
Vegetables,20.53,78.03,49.52,13.92,92.03,Biogas,7.56,3.2,35.6,31.58,1.57,0.44,1.04
Vegetables,14.6,74.65,72.12,14.95,98.73,Biogas,5.77,2.18,57.17,56.64,1.68,0.47,1.44
Vegetables,41.3,75.48,3.28,1.23,97.07,Animal Feed,16.03,6.23,2.06,1.49,1.89,0.53,1.57
Fruits,37.74,77.28,24.37,22.01,88.22,Biogas,13.32,5.83,2.36,-14.77,1.12,0.59,0.34
Fruits,45.45,63.27,88.33,2.67,87.46,Donation,15.9,5.75,85.66,100.66,1.36,0.47,0.87
Grains,5.35,24.98,14.63,4.27,98.14,Animal Feed,2.1,0.27,10.36,9.01,1.09,0.3,0.39
Vegetables,24.71,72.89,11.96,25.97,91.26,Biogas,9.02,3.6,-14.0,-37.58,1.65,0.35,1.28
Vegetables,19.96,78.72,87.54,28.89,91.25,Biogas,7.29,3.14,58.66,47.28,1.52,0.65,1.18
Meat,31.53,62.44,59.58,26.95,93.75,Biogas,11.82,3.94,32.63,17.59,2.65,1.1,0.43
Grains,47.0,27.33,69.14,14.28,95.64,Compost,17.98,2.57,54.86,54.41,1.18,0.28,0.42
Meat,9.08,55.98,66.09,28.46,87.43,Compost,3.18,1.02,37.63,22.39,2.11,1.08,0.45
Grains,12.87,26.61,19.6,18.12,95.06,Compost,4.89,0.68,1.48,-12.72,1.11,0.27,0.33
Grains,20.92,15.89,64.84,8.92,97.17,Animal Feed,8.13,0.66,55.92,59.97,0.9,0.26,0.46
