food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium,food_category_encoded
Grains,1.7249101614821596,-1.707414661876192,-1.3032176570145269,-1.6214193369004029,1.1659637633520203,Animal Feed,19.75,1.13,11.76,13.31,0.93,0.23,0.29,1
Vegetables,-1.1132877929971714,0.8702450214006053,-0.5963571117290835,-1.197678765719299,-0.5783296936629555,Animal Feed,3.5,1.57,28.33,30.25,1.72,0.57,1.29,4
Vegetables,1.1930574672961496,1.064207532221434,-0.2289710533946456,-0.6556583061055292,0.10653266747761352,Animal Feed,15.95,7.37,34.14,33.44,1.7,0.51,1.55,4
Grains,1.6294312868610008,-1.1007349287824735,-1.0506179359944572,0.9566228915591586,0.23729926717759334,Compost,18.4,2.71,-3.44,-22.89,0.79,0.29,0.52,1
Grains,1.718544903174082,-1.7394986862224946,0.28285738684905887,1.612329845880054,0.4146099108385813,Compost,19.04,1.04,29.06,11.54,1.02,0.36,0.45,1
Grains,-0.27448819817721476,-1.0938076962531582,-0.7090500811896948,-0.37316459198479346,0.8002605608012302,Compost,8.38,1.21,17.92,12.01,1.13,0.26,0.32,1
Vegetables,1.547390179779116,0.5968016320855277,0.8222485038339037,-0.4443621947306699,-0.47415969051212503,Biogas,17.35,7.04,62.43,65.92,1.69,0.63,1.37,4
Fruits,0.16612912692635445,0.0557483124274278,-1.0450356217177705,1.4883082152904623,0.11318181661490084,Compost,10.46,3.3,-7.92,-31.97,1.37,0.36,0.99,0
Grains,0.423568462941923,-1.4500132847342657,0.9782044089388361,-0.7544162712046483,1.2634846173655636,Animal Feed,12.49,1.15,69.6,76.69,1.01,0.3,0.25,1
Vegetables,0.9674444228209675,0.5468526396373068,1.0601946498776706,-0.07229730296189571,0.919945245272399,Biogas,15.32,5.71,66.01,67.62,1.64,0.72,1.34,4
Vegetables,-0.8664572208283983,1.1174378453414355,1.3295413137278,-1.5318481592523647,0.5121307648521245,Donation,5.04,2.32,86.44,102.31,1.37,0.56,1.08,4
Meat,1.236199773606451,0.6044580469863502,0.019441931917909116,0.3537399650819783,-1.4848303593797603,Biogas,14.95,6.4,32.48,24.42,3.18,0.98,0.51,2
Vegetables,1.4893956040833012,0.6759179193940236,-1.0893452412889706,1.559505818036339,0.5365109783555103,Biogas,17.9,7.12,-9.81,-34.73,1.32,0.33,1.19,4
Grains,0.374768149246664,-1.1867784486202846,1.1561406765082218,0.6098216652808568,0.2949252263674126,Compost,11.68,1.57,62.82,59.04,0.92,0.33,0.37,1
Vegetables,-0.47605471126632753,0.5654467901107322,-0.9232713915575438,1.6961592813711666,1.0994722719791503,Biogas,7.36,2.74,-6.24,-31.4,1.59,0.49,0.99,4
Grains,-1.2009869074640134,-1.2709990125293285,-0.9522296468678556,0.17115256449174654,1.3033795121892844,Compost,3.33,0.39,6.22,-5.83,0.91,0.41,0.37,1
Meat,1.3231916371501735,0.42398541003839896,-0.11174245358422662,0.2366084250806976,-1.7352816435509058,Biogas,15.19,6.15,29.73,21.93,2.86,1.09,0.64,2
Vegetables,-1.4845945276350105,0.9092562782762234,1.074848224853973,-1.2815082012104118,-0.5184873514273728,Donation,1.58,0.72,76.96,89.19,1.08,0.56,1.22,4
Grains,1.5070768771612935,-1.3639697648964546,0.9373837357905651,0.06780120566708722,0.41017714474705746,Compost,17.89,1.94,61.27,60.95,1.04,0.39,0.41,1
Vegetables,1.49222460777578,1.1349382222576005,1.2981407959214375,-0.3639778045337126,-0.3034981959884244,Biogas,17.21,8.29,75.37,80.88,1.39,0.61,1.36,4
Vegetables,-1.0729744903793488,1.2585346342280157,-0.6923031383596349,1.3550997972497905,1.0883903567503361,Biogas,4.02,1.88,3.36,-17.5,1.42,0.31,1.11,4
Vegetables,0.05367623015032317,1.0962915565677362,0.1589997888350746,-1.2780631559162563,-0.4409139448256884,Animal Feed,9.6,4.6,50.68,57.63,1.35,0.37,1.41,4
Grains,-1.2766627562378206,-1.693195605631808,1.3815266154294439,0.8578649264600396,0.8578865199910527,Compost,2.84,0.17,67.13,62.49,1.05,0.34,0.44,1
Grains,-0.45554443449585624,-1.6840808259879723,-0.12430266070677148,1.4722313372510711,0.7160380050622617,Compost,7.34,0.45,18.6,-0.03,1.01,0.34,0.43,1
Vegetables,0.7481966366538624,1.0510822495343102,-1.662230243933935,-1.3125136088578095,1.2767829156401382,Animal Feed,14.33,6.25,-1.22,-4.41,1.28,0.6,1.24,4
Vegetables,0.4271047175575215,0.8392547706115634,1.4858461134750254,0.3043609825324188,-0.45421224310026304,Biogas,11.54,5.09,74.93,75.71,1.79,0.7,1.02,4
Vegetables,0.6626192749563794,0.7196688616844361,1.7196055238112777,-1.1804535392485225,0.21735181976573137,Donation,13.19,5.41,94.56,109.61,1.51,0.58,1.13,4
Vegetables,-0.9591070917570782,0.967590867996773,1.4031580832516046,-1.6156775947434774,-0.5184873514273728,Donation,4.31,1.99,89.28,106.29,1.43,0.63,1.02,4
Meat,0.5409721161797921,0.2927325831671614,0.38299014918712526,0.97040307273578,-1.0947469433255843,Biogas,11.75,4.37,37.53,26.18,4.11,0.76,0.48,2
Grains,-0.6175048958902662,-1.6560073046849577,-0.231413315890696,-0.8646577206176185,1.0839575906588121,Animal Feed,6.57,0.42,35.89,36.99,0.85,0.32,0.39,1
Grains,0.18168864723498762,-1.1809449896482296,-1.6768838189102375,0.5363273656722101,0.7116052389707379,Compost,10.85,1.44,-17.74,-37.11,1.02,0.34,0.41,1
Vegetables,-0.751882571283008,0.6347191154038854,1.4474677028228047,1.079496173717365,0.919945245272399,Biogas,5.77,2.22,67.08,60.88,1.38,0.48,1.17,4
Fruits,-0.7257142871275792,-0.2187888504449101,-1.5627952708804544,1.6111814974486687,-0.8864069370239233,Compost,5.42,1.57,-23.83,-51.91,1.47,0.43,0.27,0
Vegetables,-1.0998500254578973,1.0481655200482822,0.4007837759440638,-0.9404487170890354,-0.5583822462510936,Animal Feed,3.58,1.7,54.68,60.07,1.5,0.32,0.98,4
Vegetables,1.3267278917657719,1.007695898429651,-1.2191340482219346,1.601994709997588,-0.7689386355985182,Biogas,15.97,7.57,-13.9,-39.94,0.98,0.5,1.21,4
Vegetables,1.6923766190186535,0.5238833949348404,-0.6441556777232128,0.5305856235152844,-0.5495167140680459,Biogas,18.04,7.15,11.91,-1.5,1.7,0.48,1.38,4
Vegetables,-0.945669324217804,0.5038308797184015,-1.031079836026054,-0.7050372886550887,-0.7755877847358055,Animal Feed,4.32,1.72,11.59,6.72,1.0,0.61,1.02,4
Mixed,0.4957080571001317,0.8450882295836183,0.40427272236699296,-0.270961581591519,0.5143471478978879,Biogas,12.46,5.26,48.94,48.52,1.71,0.64,0.93,3
Vegetables,1.0155374855931067,0.5468526396373068,0.3903169366752762,0.9244691354803759,0.7049560898334506,Biogas,15.43,5.81,38.13,27.22,1.57,0.27,1.31,4
Mixed,-0.8020973868245062,0.8899329454312911,0.258085867246262,0.838343003126493,0.7138216220164982,Biogas,5.44,2.31,35.09,24.18,1.25,0.41,0.79,3
Mixed,0.25736449600879485,0.6390942096329263,0.8714426483972044,-0.9312619296379546,-0.30793096207994824,Animal Feed,10.73,4.39,68.08,76.08,1.21,0.32,0.7,3
Vegetables,0.5119748283318845,1.1491572785019846,1.1453249425971415,0.12177358194218704,0.3857969312436685,Biogas,12.48,5.84,66.76,67.16,1.45,0.53,1.35,4
Vegetables,0.6265494778772751,1.1713973408329441,-1.6011736815326751,-0.30311533767030185,-0.2901998977138498,Biogas,12.68,6.17,-8.26,-19.9,1.24,0.5,1.07,4
Vegetables,-0.9400113168328466,0.7842015015627942,-1.0666670895399313,0.47316820194602915,-0.6559031002646368,Biogas,4.38,1.92,0.29,-15.05,1.51,0.48,1.15,4
Vegetables,-0.06867817954938388,1.1918144472351369,-1.5477928012618594,-1.5295514623895945,-0.5982771410748176,Animal Feed,8.9,4.43,3.95,3.3,1.55,0.56,1.23,4
Grains,1.60750650824429,-1.596943532592901,0.18970251735685084,1.6226649817625198,0.5697567240419469,Compost,18.57,1.38,26.3,8.16,0.97,0.26,0.39,1
Fruits,1.1294048842153772,-0.28951954048107675,0.05363360686261455,-1.360744242975984,-2.7725489089676905,Animal Feed,13.47,4.15,48.38,55.44,1.05,0.45,1.29,0
Grains,-1.1981579037715346,-1.4500132847342657,-0.2279243694677668,1.407923825093505,0.2727613959097903,Compost,3.19,0.31,16.21,-2.45,1.02,0.28,0.31,1
Grains,-1.396188162245049,-1.0744843634082262,0.8459733395098216,0.6752775258698078,0.41017714474705746,Compost,2.14,0.32,53.36,47.23,1.14,0.32,0.44,1
Grains,-0.768149342514761,-1.5499112696307078,0.8623713876975885,-1.3733760757212201,1.0152497162401786,Animal Feed,5.7,0.45,71.67,83.48,1.12,0.39,0.46,1
Vegetables,-0.804926390516985,0.9205586050345794,-0.8015071613973168,0.960067936853314,-0.7689386355985182,Biogas,5.05,2.33,3.66,-14.4,1.63,0.46,1.25,4
Vegetables,0.5685549021814602,1.272389099286646,-0.6699738812528884,-0.8772895533628545,0.46558672089111636,Animal Feed,12.83,6.21,23.42,22.12,1.68,0.57,1.28,4
Vegetables,0.30970106431965233,1.153896963916779,0.6495456558989113,0.9520294978336183,1.037413546697804,Biogas,11.73,5.34,45.32,35.66,1.22,0.31,0.98,4
Vegetables,-0.6889372391253552,0.9158189196197849,-1.573611004791535,0.7832222784200079,0.07993607092846423,Biogas,5.88,2.59,-16.94,-37.88,1.51,0.69,1.16,4
Grains,0.3599158798611504,-1.3913141038279624,0.21935856195174855,-1.6593148351361113,1.2789992986858987,Animal Feed,12.14,1.22,55.73,66.34,1.03,0.3,0.35,1
Grains,0.993612706976396,-1.4142833485304291,0.8662092287628105,0.6592006478304163,1.174829295535068,Compost,15.64,1.53,54.08,48.21,1.12,0.33,0.43,1
Grains,0.24392672846952085,-1.6191835949238604,-0.8779150880594649,0.6614973446931866,1.1216361024367727,Compost,11.4,0.79,4.08,-11.81,1.1,0.32,0.3,1
Mixed,1.0600942937496471,0.3517963552592183,1.5472515705185779,-0.2698132331601339,-0.8553775743832501,Biogas,14.54,5.47,81.69,87.81,0.76,0.39,0.59,3
Grains,1.4773723383902668,-1.3796471858838528,0.7451427878871695,-0.7165207729689398,0.48331778525721486,Animal Feed,17.79,1.88,62.59,68.0,0.83,0.23,0.33,1
Meat,1.3620904379217564,0.006893093536467155,-0.3259637639520754,1.4492643686233688,-1.7131178130932834,Compost,15.4,5.21,13.03,-6.55,2.31,1.27,0.72,2
Vegetables,-0.6542819438924903,1.2370237542685627,0.11887690497138957,-1.5754853996449987,-0.6027099071663413,Animal Feed,5.87,2.96,52.11,61.41,1.61,0.45,1.12,4
Grains,-0.15001203570814856,-1.2906869365600142,-0.35003749427028663,-1.1804535392485225,0.5187799139894118,Animal Feed,8.95,1.06,35.24,38.41,0.97,0.32,0.43,1
Vegetables,1.6181152720910854,1.1258234426137645,-1.3192668105600007,1.4653412466627602,1.1327180176655838,Biogas,19.12,8.59,-15.58,-41.0,1.53,0.4,1.46,4
Grains,-0.3452132904891841,-1.3362608347791938,-1.095974239492536,-1.622567685331788,0.3215218229165619,Animal Feed,7.81,0.88,17.71,20.46,1.1,0.23,0.52,1
Mixed,-1.62392295948959,-0.6606733675780753,1.3714086708029496,-0.0791873935502064,-1.8305861145186886,Compost,0.81,0.19,74.99,78.44,1.26,0.44,0.51,3
Meat,1.4314010283874863,-0.1269118716350442,-0.2792118818848251,-1.4330901941532457,-0.930734597939171,Compost,16.38,4.99,39.47,45.25,2.31,1.23,0.59,2
Vegetables,-0.4392776632641033,0.5045600620899082,-0.5398361796776315,1.0060018741087182,0.8290735403961399,Biogas,7.47,2.75,10.76,-6.19,1.71,0.62,0.95,4
Fruits,1.183155954372474,0.1308540966926356,0.48730964723270626,0.9577712399905439,-2.7858472072422615,Compost,13.71,5.2,40.62,29.98,0.86,0.21,0.82,0
Grains,0.3549651233993125,-1.578713973305229,-0.31096129433348013,0.155075686452355,0.26832862981826644,Compost,11.56,0.9,24.73,16.51,1.05,0.34,0.42,1
Vegetables,-0.15920629770870473,0.6201354679737477,-1.0411977806525485,-0.41565348394604223,0.7803131133893683,Biogas,9.0,3.47,8.76,1.32,2.1,0.45,1.22,4
Grains,-0.16415705417054263,-1.5918392559923527,0.39345698845591254,0.3548883135133636,1.1460163159401584,Compost,9.13,0.67,43.18,37.25,0.96,0.4,0.34,1
Grains,1.1315266369847365,-1.1652675686608318,1.3923423493405243,0.503025261162042,0.6672775780554902,Compost,16.04,2.17,70.52,69.02,0.92,0.31,0.4,1
Grains,-1.1726968705392258,-1.4270440400317994,0.13283269066310607,1.4033304313679646,0.6473301306436281,Compost,3.39,0.33,26.58,10.02,0.91,0.28,0.42,1
Fruits,1.2340780208370918,-0.04888935788380871,0.6621058630214562,0.2044546690019145,0.6340318323690535,Compost,16.58,4.86,52.19,49.11,1.32,0.44,0.7,0
Vegetables,0.6527177620327036,0.4863305028022364,0.7587496789365932,1.5296487588203265,-0.7999679982391913,Biogas,12.5,4.94,43.41,29.35,1.43,0.39,1.09,4
Grains,0.5494591272572283,-1.7529885600953719,1.616332709692575,-0.7750865429695803,0.7714475812063206,Animal Feed,12.91,0.67,88.07,98.99,1.05,0.35,0.43,1
Vegetables,-0.5460725526551771,0.48742427635949676,0.918194530464455,0.5673327733196079,1.0307643975605167,Biogas,6.95,2.52,56.37,51.6,1.41,0.52,1.32,4
Vegetables,0.4709542747909423,1.19217903842089,0.000950515876384649,-0.5316366755159379,0.8911322656774862,Biogas,12.54,5.81,39.65,39.18,1.49,0.42,1.49,4
Meat,-0.07787244154993982,-0.0652959612427132,0.12864595495559095,0.41689912880815916,-0.03974861354270129,Compost,9.09,2.73,35.06,27.07,2.71,0.96,0.48,2
Grains,-1.0121509109910551,-1.6614761724712592,-1.6528100885920263,0.013828829391987194,0.7492837507486951,Compost,4.29,0.28,-12.5,-27.2,0.82,0.33,0.36,1
Grains,-0.23346764463627237,-1.677153593458657,-0.4198164227288693,-1.198827114150684,1.0396299297435645,Animal Feed,8.69,0.54,33.4,36.34,1.12,0.26,0.48,1
Meat,0.35850137801491105,-0.22134098874518415,-1.0401510967256697,0.06780120566708722,-1.1745367329730292,Compost,10.79,3.17,4.58,-7.07,2.95,1.18,0.61,2
Grains,1.243272282837648,-1.2527694532416567,-0.08138861970474297,-1.720177301999522,0.6295990662775296,Animal Feed,16.63,2.05,47.64,57.06,0.86,0.32,0.41,1
Fruits,-1.1458213354606774,-0.45686689474190434,0.4705627044026465,0.5765195607706889,-1.8926448398000315,Compost,3.12,0.83,43.46,36.04,1.57,0.35,0.69,0
Fruits,-0.3374335303348675,-0.5228578993632764,0.08328965145751226,0.5478108499860612,-0.9130035335730726,Compost,7.39,1.8,32.62,23.23,1.16,0.35,1.07,0
Grains,-1.5418818524077056,-1.5736096967046809,1.5500427276569217,-1.6283094274887135,0.4190426769301051,Donation,1.35,0.11,93.6,111.57,0.93,0.3,0.41,1
Mixed,-0.4003788624925203,-0.3135825587408037,1.1557917818659287,-0.9576739435598121,-2.712706566732104,Animal Feed,6.43,1.95,76.46,86.32,1.16,0.38,1.11,3
Grains,-1.3099035496244464,-1.6921018320745478,0.9161011626106974,-0.7521195743418781,0.352551185557235,Animal Feed,2.6,0.16,67.8,74.5,1.05,0.35,0.38,1
Mixed,1.4504968033117183,0.24314818190469403,-0.47389509228427085,-1.2677280200337904,-0.5982771410748176,Animal Feed,16.75,5.95,32.45,35.68,0.87,0.27,0.96,3
Mixed,0.7892171901948045,-0.5877551304273879,-1.1702887983009267,0.18837779096252338,-0.9285182148934076,Compost,13.11,3.07,-0.19,-13.64,1.52,0.35,1.05,3
Vegetables,-1.1479430882300363,0.994206024556774,1.1414871015319195,0.15392733802097014,0.5121307648521245,Biogas,3.5,1.55,66.37,66.47,1.23,0.59,1.21,4
Grains,1.545268427009757,-1.3078227222904257,1.216150554982603,0.6454204666537949,0.9953022688283166,Compost,18.59,2.11,64.23,60.49,1.02,0.28,0.37,1
Grains,-0.22427338263571645,-1.6140793183233126,-0.2771185140310675,1.1357652468552353,0.21513543671996788,Compost,8.42,0.62,17.16,0.58,0.97,0.25,0.38,1
Vegetables,-1.4011389187068868,1.2519719928844535,1.6281951275305342,0.6557556025362609,0.7470673677029348,Biogas,2.14,1.02,75.95,74.47,1.3,0.65,1.07,4
Vegetables,-0.5743625895799648,0.9435278497370463,-1.4242840978901679,0.5547009405743717,-0.5894116088917667,Biogas,6.29,2.89,-10.66,-28.76,1.81,0.73,1.28,4
Grains,1.5374886668554404,-1.1448504622586395,0.025373140836888707,-1.217200689052846,1.250186319090989,Animal Feed,18.77,2.52,46.32,51.97,0.99,0.32,0.31,1
Grains,-1.6331172214901464,-1.5860057970202979,-0.6459001509346773,1.703049371959477,0.4345573582504432,Compost,0.85,0.07,1.65,-21.98,0.99,0.23,0.46,1
Vegetables,-1.0171016674528932,0.9668616856252662,-0.9888635843086115,0.5765195607706889,0.738201835519884,Biogas,4.26,1.85,1.63,-14.15,1.09,0.64,1.53,4
Vegetables,-0.021292367700364273,0.6668031397501877,-1.706539863505135,-1.2861015949359522,-0.21041010806640503,Animal Feed,9.32,3.83,-2.72,-6.39,1.81,0.44,1.23,4
Vegetables,-1.033368438684646,1.1353028134433536,-1.7400337491652547,-1.567446960625303,0.08658522006575155,Animal Feed,4.04,1.91,-1.23,-2.65,1.93,0.45,1.27,4
Vegetables,1.2135677440666206,1.0244670929743092,-0.663344883049323,1.2873472397980688,0.08436883701998805,Biogas,16.05,7.33,4.77,-15.34,1.33,0.36,0.71,4
Grains,-0.04250989539395514,-1.4186584427594702,1.6948340042084806,-0.30541203453307203,1.2413207869079412,Compost,9.85,0.95,86.22,93.5,0.93,0.32,0.31,1
Vegetables,-0.29429122402456626,0.7225855911704635,-0.5332071814740663,1.1380619437180055,0.4256918260673924,Biogas,8.12,3.3,9.8,-8.27,1.4,0.47,1.1,4
Vegetables,-1.6104851919503163,1.141500863601162,-1.633969777908209,1.7076427656850175,1.0218988653774659,Biogas,1.0,0.46,-26.71,-56.05,1.13,0.49,0.85,4
Meat,-0.5453653017320573,-0.2818631255802548,-1.3674142711964228,1.4056271282307349,-0.596060758029054,Compost,6.43,1.78,-16.45,-41.63,3.18,0.96,0.42,2
Vegetables,0.8224579835814301,0.5071122003901826,0.4126461937820227,1.0071502225401034,-0.6204409715324398,Biogas,13.49,5.33,38.05,26.55,1.68,0.55,1.13,4
Grains,-1.3884084020907324,-1.3617822177819343,1.7255367327302569,-1.3745244241526051,1.183694827718119,Donation,2.26,0.24,96.42,113.18,0.87,0.31,0.45,1
Grains,0.9667371718978475,-1.6549135311276975,0.2668082333035848,-0.2571814004148976,1.281215681731662,Compost,15.57,1.0,44.88,43.55,0.87,0.23,0.37,1
Vegetables,1.0848480760588364,0.48669509398799,-0.4187697388019906,0.2297183344923871,0.9465418418215451,Biogas,15.99,5.82,20.99,11.49,1.31,0.5,0.84,4
Meat,1.7093506411735258,-0.0204512453950406,0.8864451180157995,1.1759574419537138,-0.7844533169188531,Compost,17.92,5.7,50.17,39.92,2.79,1.25,0.34,2
Mixed,0.24180497570016168,0.4363815103540159,0.8253885556145396,-1.6581664867047263,-1.3407654614052058,Animal Feed,10.11,4.03,73.09,87.16,1.16,0.24,1.03,3
Vegetables,0.7623416551162565,1.278222558258701,1.5071286866548932,1.4974950027415435,0.4966160835317863,Biogas,13.91,6.73,65.15,55.66,1.66,0.56,1.04,4
Grains,-0.9668868519113948,-1.106932978940282,-1.1050455001921518,-0.9370036717948802,0.9886531196910325,Animal Feed,4.59,0.65,11.47,8.2,0.97,0.32,0.31,1
Vegetables,-0.7851233646696335,1.1619179700033546,-0.08836651255060134,1.1656223060712478,0.20405352149115671,Biogas,5.4,2.56,22.31,6.55,1.31,0.39,1.08,4
Vegetables,-0.5213187703459877,1.2257214275102062,1.5741164579751326,1.0852379158742906,1.0130333331944184,Biogas,7.08,3.3,70.66,65.14,1.57,0.52,1.4,4
Grains,0.4624672637135062,-1.668767996186328,-0.06882841258219809,0.33192134488566155,0.8157752421215684,Compost,12.45,0.79,30.13,21.75,0.91,0.25,0.38,1
Vegetables,1.026146249439902,0.9045165928614283,0.42974203125437554,1.2345232119543543,0.509914381806361,Biogas,15.35,6.61,36.56,23.17,1.32,0.58,1.08,4
Vegetables,-0.4003788624925203,0.5329981745786764,0.8574868627054877,-1.6685016225871923,-0.4253992635053534,Animal Feed,7.24,2.86,74.1,88.45,1.67,0.48,0.82,4
Vegetables,0.3627448835536294,0.9613928178389645,1.5018952670204992,1.6192199364683644,0.4434228904334909,Biogas,11.7,5.15,63.94,53.35,1.63,0.44,0.98,4
Vegetables,0.5140965811012436,0.6496673540197762,0.44579118479984964,-1.6191226400376328,-0.08629265750371255,Animal Feed,12.21,4.95,61.88,73.44,1.5,0.65,1.27,4
Meat,1.6697445894788234,0.13194787024989593,-1.3618319569197364,-0.989827699638595,-1.6599246199949849,Biogas,16.94,6.05,4.59,0.31,3.51,0.85,0.48,2
Grains,0.2135149387753738,-1.3158437283770013,-1.294146396314911,-0.27210993002290407,0.8512373708537654,Compost,11.1,1.25,0.27,-9.88,1.14,0.3,0.39,1
Vegetables,1.3415801611512854,0.6482089892767622,-1.6123383100860484,0.9118373027351394,0.3126562907335111,Biogas,16.91,6.73,-19.16,-41.45,1.55,0.51,1.0,4
Mixed,-0.6556964457387296,-0.24029973040436298,-1.7292180152541745,0.07009790252985738,-1.3341163122679185,Compost,5.65,1.66,-15.18,-30.8,0.84,0.45,0.69,3
Vegetables,0.7001035738817233,0.5825825758411437,-1.0973698180617077,-1.2309808702294671,0.9066469469978242,Animal Feed,13.83,5.22,14.26,13.59,1.61,0.75,0.97,4
Grains,-0.8339236783648925,-1.4762638501085135,1.4527011224571986,1.3045724662688456,0.7359854524741236,Compost,5.27,0.48,65.27,57.14,1.07,0.27,0.39,1
Vegetables,-1.1182385494590092,0.8651407448000572,-0.24327573372865494,0.6419754213596399,0.2616794806809791,Biogas,3.62,1.56,22.42,10.34,1.64,0.37,0.98,4
Vegetables,0.7432458801920245,1.274212055215413,-1.249487882101418,0.7235081599879825,0.7891786455724191,Biogas,13.99,6.67,-7.12,-25.67,1.62,0.5,1.25,4
Fruits,1.5212218956236876,0.3404940285008617,0.44300002766150637,-0.848580842578227,-1.068150346776435,Animal Feed,16.72,6.32,55.08,59.92,1.59,0.46,0.83,0
Grains,1.3295568954582506,-1.3442818408657695,-0.32666155323666135,1.5055334417612392,0.7603656659775094,Compost,17.2,1.88,12.53,-7.55,1.09,0.36,0.4,1
Mixed,-0.16415705417054263,0.9256628816351276,-1.2425099892555598,1.24256165097405,-1.8815629245712204,Biogas,7.87,3.84,-11.44,-34.47,1.16,0.35,0.84,3
Fruits,0.12652307523165168,-0.10649476523285165,1.5148043687853372,-1.415864967682469,-1.3208180139933439,Donation,9.55,3.0,90.74,106.66,1.11,0.44,0.99,0
Fruits,0.5162183338706028,-0.28550903743778894,0.004090567657020743,0.8762385013622013,-0.10624010491557452,Compost,12.21,3.29,27.48,14.77,0.99,0.33,0.89,0
Vegetables,-0.11535674047528366,0.5399254071079915,-0.7882491649901862,0.8337496094009523,-0.2237084063409797,Biogas,8.81,3.46,5.13,-11.74,1.51,0.35,1.13,4
Grains,-1.3905301548600912,-1.0624528542783627,-1.1277236519411913,1.5778793929385007,1.0285480145147532,Compost,2.23,0.33,-11.07,-36.37,0.9,0.28,0.52,1
Vegetables,0.6803005480343717,0.8924850837315649,1.590863400805192,-0.21698920531641896,1.0972558889333868,Biogas,13.84,5.78,82.48,88.4,1.57,0.26,1.45,4
Vegetables,1.2743913234549142,1.1994708621359587,-1.1259791787297266,-1.5858205355274646,0.48110140221145137,Animal Feed,16.68,7.9,16.53,18.79,1.6,0.55,1.15,4
Meat,0.2340252155458451,-0.07477533207230275,-1.02340415389561,-0.28589011119952523,-0.5251365005646601,Compost,10.5,3.21,8.15,-0.33,3.29,1.09,0.62,2
Vegetables,-1.673430524107969,1.2486906722126725,-0.7795267989328634,1.5055334417612392,-0.6049262902121049,Biogas,0.6,0.31,-0.46,-23.14,1.51,0.43,1.44,4
Grains,0.6612047731101398,-1.2039142343506959,-0.8991976612393328,1.363138236269486,0.5808386392707581,Compost,13.41,1.75,-2.65,-24.78,0.83,0.32,0.42,1
Grains,-0.003611094622371932,-1.7325714536931796,-0.20454842843414153,-0.49718622257438483,1.2125078073130284,Compost,10.06,0.54,33.46,31.53,1.11,0.3,0.43,1
Vegetables,0.2715095144711887,0.5464880484515536,0.19807598877188085,0.8992054699899034,1.1327180176655838,Biogas,11.57,4.27,32.83,21.04,1.61,0.43,0.99,4
Meat,-0.9095995271386997,0.0017888169359190197,-0.8102295274546397,0.9922216929320972,-0.08629265750371255,Compost,4.67,1.45,3.13,-15.25,2.64,1.19,0.6,2
Vegetables,-0.32823926833431133,0.6919599315671747,1.603423607927737,-1.4652439502320287,-0.635955652852778,Donation,7.54,3.19,93.72,110.57,1.44,0.5,1.55,4
Vegetables,-0.0071473492379704505,0.585134714141418,1.1132266355061933,1.700752675096707,-0.6448211850358256,Biogas,9.19,3.74,52.09,38.56,1.43,0.72,0.94,4
Meat,-0.9520345825258812,0.38242201486250715,-1.7072376527897208,1.243709999405435,-0.8221318286968136,Biogas,4.28,1.63,-24.78,-50.49,3.36,0.98,0.6,2
Meat,-0.6832792317403976,-0.033211936896410936,-1.0987653966308792,1.4458193233292138,-1.894861222845795,Compost,5.35,1.79,-9.08,-33.06,3.58,1.03,0.46,2
Fruits,-0.5100027555760727,-0.04050376061147951,0.04874908187051374,-1.1161460270909564,-1.8150714331983504,Animal Feed,6.22,2.07,46.1,51.0,1.4,0.39,1.0,0
Grains,1.4710070800821893,-1.7435091892657824,-0.9616498022097643,-0.4133567870832721,0.48331778525721486,Compost,17.75,0.96,11.03,4.02,1.04,0.28,0.39,1
Mixed,1.2616608068387598,0.8881099895025235,-0.9490895950872194,-0.4363237557109741,-2.639565926221947,Compost,14.18,7.13,11.6,4.86,0.76,0.44,0.63,3
Grains,-0.09272471093545345,-1.0690154956219244,-0.17524127848153667,0.9749964664613203,0.6850086424215885,Compost,9.33,1.39,21.47,6.88,1.06,0.31,0.33,1
Mixed,1.1789124488337557,-0.025555521995588734,0.6935063808278181,-1.067915392972782,-2.2583480423508218,Animal Feed,14.09,4.83,64.17,72.35,1.14,0.47,0.66,3
Grains,-0.6373079217376175,-1.6381423365830392,1.2974430066368519,-0.9771958668933587,0.880050350448675,Animal Feed,6.39,0.43,80.69,91.53,1.26,0.37,0.42,1
Meat,-0.4463501724953003,0.27377384150798284,0.6840862254859096,0.9152823480292949,-0.12840393537319683,Biogas,7.11,2.5,46.64,37.49,3.31,0.7,0.65,2
Vegetables,0.7213211015753138,0.9821745154269106,-1.7145644402778721,-1.151744828463895,0.10874905052337386,Animal Feed,13.43,6.05,-4.12,-9.01,1.48,0.35,0.98,4
Vegetables,1.2206402532978178,1.2136899183803427,0.9024942715612737,-1.7305124378819878,0.9709220553249308,Animal Feed,16.77,7.79,75.92,91.06,1.39,0.56,1.38,4
Grains,-1.6826247861085248,-1.5531925903024886,-0.4836641422684725,-0.04588528904003824,0.6872250254673521,Compost,0.59,0.05,21.53,14.06,1.0,0.32,0.44,1
Fruits,-0.6811574789710386,0.3452337139156567,0.4328820830350119,0.7441784317529143,-2.0743882495525465,Compost,5.31,2.12,40.92,31.82,1.07,0.4,0.66,0
Vegetables,-1.5687573874862542,1.1579074669600669,0.871791543039497,-0.43058201355404874,0.6739267271927775,Biogas,1.22,0.56,63.73,67.38,1.27,0.55,1.39,4
